Name,NRIC,Location,Datetime,Status
Akmal,S98,SIT,16/6/2022 12:17,Checked-In
akmal,98,sit,17/6/2022 16:10,Checked-In
akmal,s98,sit,17/6/2022 16:19,Checked-In
Akmal,s98,sit,17/6/2022 16:26,Checked-In
Akmal,s98,sit,17/6/2022 16:30,Checked-In
Akmal,s98,SIT,17/6/2022 16:39,Checked-In
Akmal,s98,sit,17/6/2022 16:40,Checked-In
Name1,s123,sit,17/6/2022 16:40,Checked-In
name2,s1234567,nyp,17/6/2022 16:40,Checked-In
akmal,s98,sit,17/6/2022 16:44,Checked-In
akmal,s98,sit,17/6/2022 16:45,Checked-In
Akmal,s123,sit,17/6/2022 16:47,Checked-In
akmal,s123,sit,17/6/2022 16:47,Checked-In
test1,s321,nyp,17/6/2022 16:47,Checked-In
help,s22,tp,17/6/2022 16:48,Checked-In
Akmal,s123,sit,17/6/2022 18:37,Checked-In
Akmal,s123,sit,17/6/2022 18:37,Checked-In
Akmal,s123,sit,17/6/2022 18:38,Checked-In
Akmal,s123,sit,17/6/2022 19:14,Checked-In
Akmal,s123,sit,17/6/2022 19:15,Checked-In
Akmal,s123,sit,17/6/2022 19:16,Checked-In
Akmal,s123,sit,17/6/2022 19:17,Checked-In
fAIN,S333,TAMPINES,17/6/2022 19:35,Checked-In
malas,s222,tp,17/6/2022 19:35,Checked-In
Akmal,s123,Sit,17/6/2022 19:43,Checked-In
Akmal,123,sit,17/6/2022 19:44,Checked-In
akmal,123,sit,17/6/2022 19:47,Checked-In
akmal,123,sg,17/6/2022 19:54,Checked-In
Akmal,s123,sit,17/6/2022 20:17,Checked-In
akmal,123,sit,17/6/2022 20:25,Checked-In
akmal,123,sit,17/6/2022 20:30,Checked-In
akmal,123,test,17/6/2022 20:35,Checked-In
Akmal,123,sit,17/6/2022 20:39,Checked-In
malas,321,nyp,17/6/2022 20:39,Checked-In
akmal,123,sit,17/6/2022 20:41,Checked-In
akmal,123,sit,17/6/2022 20:41,Checked-In
akmal,123,sit,17/6/2022 20:42,Checked-In
malas,333,nyp,17/6/2022 20:42,Checked-In
akmal,123,tp,17/6/2022 21:57,Checked-In
akmal,123,tp,17/6/2022 21:57,Checked-In
Dennison,s1234,nyp,26/6/2022 0:22,Checked-In
Dennison,s1234,tampines,26/6/2022 0:23,Checked-In
Dennison,s1234,pasir ris,26/6/2022 0:23,Checked-In
Dennison,s12345,qwer,26/06/2022 00:27,Checked-In
Dennison,s12345,rty,26/06/2022 00:27,Checked-In
Dennison,s12345,asd,26/06/2022 00:28,Checked-In
rew,aassdd,tre,26/06/2022 00:28,Checked-In
